drugname,total_reports,death_rate_pct,outcome,report_count
CORTICOTROPIN,6358.0,1.65,Disability,5.0
TYMLOS,6287.0,1.26,Disability,8.0
COSENTYX,6172.0,7.29,Disability,63.0
JAKAFI,6171.0,7.08,Disability,11.0
ELIGARD,5844.0,14.25,Disability,3.0
TREMFYA,5681.0,1.25,Disability,4.0
MYCOPHENOLATE MOFETIL,5676.0,14.62,Disability,12.0
CARBOPLATIN,5619.0,12.01,Disability,41.0
TISLELIZUMAB,5583.0,0.52,Disability,118.0
NUCALA,5563.0,2.12,Disability,13.0
ADALIMUMAB,5417.0,12.04,Disability,73.0
WEGOVY,5276.0,0.66,Disability,123.0
XELJANZ XR,5243.0,1.64,Disability,47.0
CABOMETYX,5233.0,5.03,Disability,8.0
IBRANCE,5179.0,10.74,Disability,21.0
TACROLIMUS,5147.0,12.98,Disability,35.0
XOLAIR,5086.0,0.92,Disability,25.0
TYLENOL,4981.0,0.92,Disability,5.0
INFLIXIMAB,4638.0,4.05,Disability,36.0
OCREVUS,4572.0,2.01,Disability,98.0
BENLYSTA,4541.0,0.7,Disability,8.0
ATORVASTATIN,4512.0,3.81,Disability,290.0
FINASTERIDE,4420.0,2.17,Disability,281.0
SIMPONI,4419.0,1.45,Disability,4.0
CLOZARIL,4413.0,20.24,Disability,2.0
TRULICITY,4339.0,1.06,Disability,18.0
LEVETIRACETAM,4253.0,4.21,Disability,48.0
CREON,4211.0,9.4,Disability,10.0
KEVZARA,4207.0,1.85,Disability,33.0
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,4183.0,6.65,Disability,19.0
